,IP,Traceroute,TTL,Latency,Delay
159,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[0.943, 1.447, 44.114, 44.15, 123.117]"
160,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.964, 1.279, 44.3, 44.352, 123.828]"
161,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.854, 1.481, 44.522, 44.776, 124.365]"
162,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.843, 1.419, 44.201, 44.234, 123.069]"
163,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[0.944, 1.448, 44.4, 44.399, 123.005]"
164,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.909, 1.148, 44.157, 44.196, 122.577]"
165,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.021, 1.383, 44.302, 44.351, 122.92]"
166,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.923, 1.483, 44.186, 44.231, 123.032]"
167,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[1.307, 1.387, 44.222, 44.266, 122.906]"
168,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.063, 1.581, 44.186, 44.227, 122.419]"
169,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[2.61, 2.596, 44.53, 44.718, 124.456]"
170,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.094, 1.311, 44.222, 44.258, 123.117]"
171,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[0.686, 1.551, 98.376, 44.316, 122.922]"
172,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.468, 3.116, 44.272, 44.321, 122.931]"
173,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.986, 5.904, 44.186, 44.419, 123.388]"
174,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,124.0,"[0.977, 10.625, 44.136, 44.16, 123.914]"
175,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.89, 2.116, 44.113, 44.174, 122.821]"
176,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,124.0,"[2.783, 1.354, 44.182, 44.223, 122.83]"
177,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[0.818, 1.51, 44.143, 44.173, 121.388]"
178,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[1.042, 1.367, 44.291, 44.322, 123.276]"
